sample_uid,sample_type,regime_name,dominant_pft,co_dominant_pft,dominant_margin,fraction_entropy,decomposition_allowed_soft,decomposition_allowed_hard,composition_vs_nuisance_ratio,jacobian_condition_number,split
synthetic_ident_v2_0000016,coastal_hard_negative,coastal,prochlorococcus,haptophytes,0.2151957508672249,0.8050165552271755,0.0795930213987957,0,0.0526088084167301,10.779014913306378,train
synthetic_ident_v2_0000017,clear_ambiguous,clear,prokaryotes,haptophytes,0.0303925078943657,0.6552326174816776,0.962114140611469,1,0.4280599469713955,9.474937629744469,val
synthetic_ident_v2_0000018,external_like_shift,transition,dinoflagellates,green_algae,0.0832534088507797,0.8395972865449134,0.2147723160778228,0,0.2193047042601536,23.07198502023947,train
synthetic_ident_v2_0000019,hard_pair,clear,prochlorococcus,prokaryotes,0.0685652777068063,0.5274373046632866,0.0301403213073663,0,0.0,1672956765231.4404,test
synthetic_ident_v2_0000020,transition_hard_negative,transition,green_algae,prokaryotes,0.3286289766759179,0.6869571717896298,0.2471728703508398,0,0.2866275748482527,15.358679339714865,train
synthetic_ident_v2_0000021,clear_ambiguous,clear,cryptophytes,prokaryotes,0.0869307077891189,0.6969261346945633,0.8346615888079357,1,0.737709731762323,31.573142207355858,train
synthetic_ident_v2_0000022,clear_feasible,clear,dinoflagellates,pelagophytes,0.6275106728056189,0.563467694339023,0.9645565134857406,1,0.4268573257215488,40.24914561632408,val
synthetic_ident_v2_0000023,low_margin,clear,green_algae,diatoms,0.0154796941440304,0.6915120916222683,0.9384530543479636,1,0.2510866515807607,36.97976259687965,train
synthetic_ident_v2_0000024,clear_feasible,clear,dinoflagellates,cryptophytes,0.7082818024584835,0.4702970686289882,0.9695532764309356,1,0.3847332750688692,31.21919765440853,train
synthetic_ident_v2_0000025,coastal_hard_negative,coastal,dinoflagellates,diatoms,0.3941122439413085,0.5910594369153732,0.0864095127216878,0,0.00749885781663,9.886269650694176,train
synthetic_ident_v2_0000026,transition_hard_negative,transition,green_algae,prokaryotes,0.0835845641105904,0.8930079993014401,0.1953519148993849,0,0.204619960419569,16.37525750292768,train
synthetic_ident_v2_0000027,transition_hard_negative,transition,prochlorococcus,diatoms,0.042616545124422,0.9082405533967758,0.2418863475622308,0,0.1875234880758699,7.790872920453191,val
synthetic_ident_v2_0000028,clear_ambiguous,clear,diatoms,prochlorococcus,0.0727515444762568,0.6367018948074205,0.4874346153484175,0,0.3068265523917096,13.019196356742588,train
synthetic_ident_v2_0000029,transition_hard_negative,transition,green_algae,prokaryotes,0.1614127391381993,0.8891347874934815,0.3013120902514422,0,0.3277868144896957,16.670458781340255,train
synthetic_ident_v2_0000030,clear_feasible,clear,prokaryotes,prochlorococcus,0.6894906183113478,0.5120188131417456,0.0583956479005617,0,0.0,1675795297363.059,train
synthetic_ident_v2_0000031,clear_hard_pair,clear,pelagophytes,cryptophytes,0.195437395994957,0.5499443326242274,0.7906324105715486,1,0.0897915134711969,70.80433807214534,val
synthetic_ident_v2_0000032,clear_feasible,clear,haptophytes,diatoms,0.5385142635814376,0.6172724465595117,0.9601922978293732,1,0.1621659618268754,10.603244041700696,train
synthetic_ident_v2_0000033,hard_pair,coastal,pelagophytes,cryptophytes,0.2211313507656445,0.5416372748590677,0.0401437798502941,0,0.0153835222633789,74.78815755161853,train
synthetic_ident_v2_0000034,clear_feasible,clear,diatoms,dinoflagellates,0.6229655968871782,0.5297253166276256,0.9696521097377008,1,0.1151717094322033,13.297615297438671,test
synthetic_ident_v2_0000035,clear_ambiguous,clear,pelagophytes,dinoflagellates,0.1169852197473838,0.6903283562189291,0.5106665220604322,0,0.3910293440567379,33.55666273817601,train
synthetic_ident_v2_0000036,clear_feasible,clear,dinoflagellates,diatoms,0.5895827610602229,0.6094406681538823,0.9674911436843866,1,0.1527256599261253,12.569806175347937,train
synthetic_ident_v2_0000037,clear_feasible,clear,diatoms,pelagophytes,0.5818164448542098,0.5871493111614953,0.9664968119901292,1,0.5533602148028919,69.91653250550159,train
synthetic_ident_v2_0000038,transition_hard_negative,transition,prochlorococcus,dinoflagellates,0.1149635402825782,0.7860982723755057,0.0529944745782048,0,0.0441743393327888,9.838944421335803,train
synthetic_ident_v2_0000039,transition_hard_negative,transition,green_algae,cryptophytes,0.3821748739517672,0.7257206644707543,0.2996043450388238,0,0.0516279173440414,8.51867339026006,train
synthetic_ident_v2_0000040,clear_ambiguous,clear,dinoflagellates,prokaryotes,0.0119234464118673,0.6538577892800821,0.9093185306746407,1,0.3588125390656425,12.024441138131,val
synthetic_ident_v2_0000041,external_like_shift,clear,haptophytes,dinoflagellates,0.0769929401426902,0.8019255227045966,0.1316098251440512,0,0.0527130042050758,11.861420855881796,val
synthetic_ident_v2_0000042,clear_feasible,clear,haptophytes,green_algae,0.6391683584896615,0.5723516766375505,0.9688502742306,1,0.649085269735134,74.42064150336999,train
synthetic_ident_v2_0000043,external_like_shift,transition,pelagophytes,haptophytes,0.1363141077443501,0.8492796434006484,0.0506753080860538,0,0.2187092677166704,22.72715122170665,train
synthetic_ident_v2_0000044,clear_hard_pair,clear,pelagophytes,cryptophytes,0.0300574737889263,0.5513049220212265,0.3845500135103893,0,0.0880264070371204,93.30774265020648,train
synthetic_ident_v2_0000045,transition_hard_negative,transition,prochlorococcus,pelagophytes,0.0319095195905261,0.898866497622811,0.127475453961132,0,0.4323029461500569,15.35035747450408,train
synthetic_ident_v2_0000046,clear_ambiguous,clear,diatoms,pelagophytes,0.0876029023977074,0.6756158403888208,0.7333533190372546,1,0.3751367718318857,75.25659439898227,train
synthetic_ident_v2_0000047,clear_ambiguous,clear,haptophytes,green_algae,0.0701931793553016,0.6078906414067365,0.9697055696171676,1,0.4751442374125769,63.76797027633325,val
synthetic_ident_v2_0000048,transition_hard_negative,transition,prochlorococcus,haptophytes,0.3608698301945453,0.6774166953104767,0.5933145571627936,1,0.0826087762277723,9.441293386116843,val
synthetic_ident_v2_0000049,clear_ambiguous,clear,diatoms,cryptophytes,0.081026976110739,0.5831015809307644,0.808729037444176,1,0.4453266103415695,67.04835136888087,train
